iter,chain,R_0,D_lat,D_inf,α,D_imm,ρ,σ
10001,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10002,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10003,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10004,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10005,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10006,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10007,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10008,1,4.210909208690152,2.3592314553870946,2.4834438701584913,0.24272103582839819,22.157698736834824,0.658905705429458,0.37016692383449484
10009,1,4.264105890946336,1.783534249232244,2.0503198809033796,0.298414267648797,17.701376201733616,0.7223028277842456,0.27992734137198017
10010,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10011,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10012,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10013,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10014,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10015,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10016,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10017,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10018,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10019,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10020,1,5.178265244407068,1.8895089570889696,2.5029842673509064,0.3272190155631169,22.89113849911868,0.7409654615716376,0.24534833093023442
10021,1,4.958972347941739,2.072923054262592,2.590286080364513,0.2934704195951845,15.24180720584367,0.6707168411662341,0.2542719433815545
10022,1,4.244377997012364,1.864536782816272,2.465275647769702,0.3118093461241792,19.195255174919883,0.7011045989205902,0.2458760414535001
10023,1,4.244377997012364,1.864536782816272,2.465275647769702,0.3118093461241792,19.195255174919883,0.7011045989205902,0.2458760414535001
10024,1,4.244377997012364,1.864536782816272,2.465275647769702,0.3118093461241792,19.195255174919883,0.7011045989205902,0.2458760414535001
10025,1,4.244377997012364,1.864536782816272,2.465275647769702,0.3118093461241792,19.195255174919883,0.7011045989205902,0.2458760414535001
10026,1,4.244377997012364,1.864536782816272,2.465275647769702,0.3118093461241792,19.195255174919883,0.7011045989205902,0.2458760414535001
